t,product,price,demand_thousands,income
1,prod_1,9.57,0.003,100.71
1,prod_2,9.71,0.003,100.71
1,prod_3,9.69,0.002,100.71
2,prod_1,9.46,0.003,103.68
2,prod_2,9.47,0.003,103.68
2,prod_3,9.43,0.003,103.68
3,prod_1,9.47,0.003,103.73
3,prod_2,9.71,0.003,103.73
3,prod_3,9.14,0.003,103.73
4,prod_1,9.94,0.003,103.12
4,prod_2,10.14,0.003,103.12
4,prod_3,9.5,0.003,103.12
5,prod_1,9.98,0.002,100.54
5,prod_2,10.77,0.002,100.54
5,prod_3,9.65,0.002,100.54
6,prod_1,10.19,0.003,97.71
6,prod_2,10.44,0.002,97.71
6,prod_3,10.16,0.002,97.71
7,prod_1,10.02,0.003,99.68
7,prod_2,10.21,0.002,99.68
7,prod_3,10.37,0.002,99.68
8,prod_1,9.61,0.003,99.78
8,prod_2,10.13,0.002,99.78
8,prod_3,10.6,0.002,99.78
9,prod_1,9.98,0.002,98.85
9,prod_2,9.89,0.002,98.85
9,prod_3,10.36,0.002,98.85
10,prod_1,9.78,0.002,100.84
10,prod_2,9.83,0.003,100.84
10,prod_3,10.52,0.002,100.84
11,prod_1,9.41,0.002,101.66
11,prod_2,10.09,0.002,101.66
11,prod_3,10.2,0.002,101.66
12,prod_1,9.32,0.003,101.21
12,prod_2,10.04,0.003,101.21
12,prod_3,10.33,0.002,101.21
13,prod_1,7.84,0.004,102.48
13,prod_2,10.44,0.003,102.48
13,prod_3,10.04,0.003,102.48
14,prod_1,8.47,0.004,101.33
14,prod_2,10.19,0.003,101.33
14,prod_3,9.46,0.003,101.33
15,prod_1,8.09,0.004,102.59
15,prod_2,10.45,0.003,102.59
15,prod_3,9.51,0.003,102.59
16,prod_1,7.77,0.004,103.05
16,prod_2,9.86,0.003,103.05
16,prod_3,9.22,0.003,103.05
17,prod_1,7.77,0.004,101.81
17,prod_2,9.97,0.003,101.81
17,prod_3,9.48,0.003,101.81
18,prod_1,8.56,0.003,100.78
18,prod_2,9.01,0.003,100.78
18,prod_3,9.38,0.003,100.78
19,prod_1,8.64,0.003,99.18
19,prod_2,9.52,0.003,99.18
19,prod_3,9.37,0.002,99.18
20,prod_1,8.47,0.003,101.0
20,prod_2,10.35,0.002,101.0
20,prod_3,9.03,0.002,101.0
21,prod_1,8.52,0.003,100.57
21,prod_2,10.25,0.002,100.57
21,prod_3,9.18,0.002,100.57
22,prod_1,8.44,0.003,98.44
22,prod_2,9.53,0.002,98.44
22,prod_3,9.3,0.002,98.44
23,prod_1,8.56,0.003,99.97
23,prod_2,9.79,0.002,99.97
23,prod_3,9.67,0.003,99.97
24,prod_1,8.44,0.003,100.88
24,prod_2,9.88,0.003,100.88
24,prod_3,9.9,0.003,100.88
25,prod_1,8.38,0.004,100.76
25,prod_2,9.78,0.003,100.76
25,prod_3,10.01,0.003,100.76
26,prod_1,8.64,0.003,101.06
26,prod_2,9.84,0.003,101.06
26,prod_3,10.18,0.003,101.06
27,prod_1,8.78,0.003,100.16
27,prod_2,10.01,0.003,100.16
