t,P_prod_1,P_prod_2,P_prod_3,Qk_prod_1,Qk_prod_2,Qk_prod_3,income
1,9.57,9.71,9.69,0.003,0.003,0.002,100.71
2,9.46,9.47,9.43,0.003,0.003,0.003,103.68
3,9.47,9.71,9.14,0.003,0.003,0.003,103.73
4,9.94,10.14,9.5,0.003,0.003,0.003,103.12
5,9.98,10.77,9.65,0.002,0.002,0.002,100.54
6,10.19,10.44,10.16,0.003,0.002,0.002,97.71
7,10.02,10.21,10.37,0.003,0.002,0.002,99.68
8,9.61,10.13,10.6,0.003,0.002,0.002,99.78
9,9.98,9.89,10.36,0.002,0.002,0.002,98.85
10,9.78,9.83,10.52,0.002,0.003,0.002,100.84
11,9.41,10.09,10.2,0.002,0.002,0.002,101.66
12,9.32,10.04,10.33,0.003,0.003,0.002,101.21
13,7.84,10.44,10.04,0.004,0.003,0.003,102.48
14,8.47,10.19,9.46,0.004,0.003,0.003,101.33
15,8.09,10.45,9.51,0.004,0.003,0.003,102.59
16,7.77,9.86,9.22,0.004,0.003,0.003,103.05
17,7.77,9.97,9.48,0.004,0.003,0.003,101.81
18,8.56,9.01,9.38,0.003,0.003,0.003,100.78
19,8.64,9.52,9.37,0.003,0.003,0.002,99.18
20,8.47,10.35,9.03,0.003,0.002,0.002,101.0
21,8.52,10.25,9.18,0.003,0.002,0.002,100.57
22,8.44,9.53,9.3,0.003,0.002,0.002,98.44
23,8.56,9.79,9.67,0.003,0.002,0.003,99.97
24,8.44,9.88,9.9,0.003,0.003,0.003,100.88
25,8.38,9.78,10.01,0.004,0.003,0.003,100.76
26,8.64,9.84,10.18,0.003,0.003,0.003,101.06
27,8.78,10.01,10.04,0.003,0.003,0.003,100.16
28,9.02,10.04,9.4,0.003,0.003,0.003,98.92
29,8.59,10.02,9.95,0.003,0.003,0.003,100.68
30,8.88,9.85,9.75,0.003,0.003,0.003,98.32
31,9.0,10.21,9.5,0.002,0.003,0.002,95.46
32,9.14,9.68,9.52,0.003,0.002,0.002,93.33
33,9.82,9.5,8.84,0.003,0.002,0.002,95.53
34,10.25,9.47,9.09,0.002,0.002,0.003,93.87
35,10.15,9.81,9.09,0.002,0.003,0.003,93.87
36,9.4,9.37,9.27,0.003,0.003,0.002,93.03
37,9.26,9.17,9.3,0.003,0.003,0.003,91.74
38,9.68,9.71,9.07,0.003,0.003,0.003,92.13
39,9.96,9.5,8.71,0.003,0.003,0.003,92.56
40,9.95,9.07,12.42,0.003,0.003,0.002,96.88
41,9.56,8.91,11.7,0.003,0.003,0.002,96.44
42,9.53,9.11,11.29,0.003,0.003,0.002,97.2
43,9.75,9.38,11.41,0.002,0.002,0.002,101.37
44,9.1,10.09,12.33,0.003,0.002,0.002,104.04
45,9.23,10.65,11.85,0.003,0.002,0.002,104.84
46,9.71,9.2,11.54,0.003,0.003,0.002,106.16
47,10.47,9.35,11.21,0.002,0.003,0.002,105.4
48,10.48,9.66,11.04,0.002,0.003,0.002,106.54
49,10.75,10.15,10.8,0.002,0.003,0.002,106.39
50,10.19,10.13,10.52,0.002,0.003,0.002,103.97
51,10.05,10.92,10.92,0.003,0.002,0.002,107.15
52,10.67,10.07,11.38,0.002,0.003,0.002,106.37
53,9.89,11.93,11.43,0.003,0.002,0.002,106.89
54,10.23,11.05,11.44,0.002,0.002,0.002,105.08
55,9.23,10.78,11.61,0.003,0.002,0.002,102.04
56,8.95,8.93,11.39,0.003,0.003,0.002,98.3
57,9.39,8.52,10.48,0.003,0.003,0.002,92.18
58,9.46,8.77,10.43,0.003,0.003,0.002,94.02
59,9.8,8.75,9.98,0.002,0.003,0.002,91.34
60,10.53,8.52,9.51,0.002,0.003,0.002,91.15
61,11.1,8.7,9.41,0.002,0.003,0.002,91.95
62,10.78,8.79,9.7,0.003,0.003,0.003,89.97
63,10.29,9.02,10.14,0.003,0.003,0.002,89.94
64,10.77,8.96,9.85,0.003,0.003,0.003,91.52
65,10.9,9.1,9.99,0.002,0.002,0.002,91.84
66,10.73,8.99,11.13,0.002,0.002,0.002,93.62
67,11.08,9.0,11.35,0.002,0.002,0.002,89.33
68,9.77,9.03,10.56,0.002,0.002,0.002,91.35
69,10.02,8.86,9.8,0.002,0.002,0.002,93.7
70,9.7,8.74,11.91,0.002,0.002,0.002,91.77
71,9.38,9.25,11.68,0.003,0.003,0.002,93.92
72,10.48,9.85,11.97,0.002,0.003,0.002,93.71
