Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,25.74,0,0,0,0,0,0,0,0,0,0
0,114.33,108.56,51.28,0,52.28,70.07,40.1,47.96,0,0,0
21.54,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,8.79,42.1,0,0,10.77,63.25,27.93,0,63.45,83.94,30.98
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,24.48,13.97,0,48.37,0,52.27,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,38.51,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
15.36,0,0,0,0,0,0,0,0,0,0,0
15.36,0,0,0,0,0,0,0,0,0,0,0
15.9,0,0,0,0,0,0,0,0,0,0,0
67.51,0,0,0,0,0,0,0,0,0,0,0
0,14.37,0,0,0,0,0,0,0,0,0,13.99
11.77,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,28.34,0,0,0,0,12.49,0
0,29.13,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
11.77,15.99,0,0,0,0,0,0,0,0,0,0
237.44,0,0,0,0,0,0,0,0,0,0,0
14.96,0,0,0,0,0,15.96,0,0,0,12.99,0
0,33.27,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
78.43,0,0,0,0,35.71,0,0,0,48.96,74.47,115.46
0,22.74,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
23.94,0,0,0,0,0,0,0,0,0,0,0
19.74,58.06,63.31,0,0,0,26.14,0,38.97,0,0,0
0,51.07,58.46,0,0,0,0,0,20.96,0,0,0
0,44.98,0,0,0,0,0,0,0,0,57.96,0
14.96,0,0,0,0,43.9,0,0,0,0,0,0
35.31,49.27,0,0,0,0,0,0,0,0,0,0
0,59.25,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,38.47,195.37,0
0,24.26,0,0,0,0,0,0,0,0,25.48,0
0,43.11,0,0,0,0,0,0,0,0,0,0
38.95,0,0,0,0,0,0,0,0,0,0,0
0,11.77,0,0,0,0,0,0,0,0,0,0
0,38.51,26.74,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,26.96,0,0,30.32,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
