Long,Lat,PrPRINT,PrPDF,RelPrPDF,PurPDF,PurPRINT
-74.058,42.83326,34.95,17.48,50,1,0
-163.11894,60.31473,39.95,29.96,75,0,1
-163.11894,60.31473,39.95,29.96,75,0,1
-86.1164,32.37004,28,7,25,1,0
-111.82436,33.32599,24.95,18.71,75,0,1
-111.82436,33.32599,18,13.5,75,0,1
-118.29866,33.78659,49.95,0,0,1,0
-118.29866,33.78659,57.95,14.49,25,1,0
-118.29866,33.78659,14.95,3.74,25,1,0
-118.29866,33.78659,44.95,11.24,25,1,0
-119.1343,34.03238,44.95,22.48,50,1,0
-122.23563,37.46215,39.95,29.96,75,0,1
-122.23563,37.46215,23,0,0,1,0
-121.70532,37.18939,39.95,29.96,75,0,1
-122.39368,37.76902,26.25,0,0,1,0
-122.41628,37.74893,34.95,0,0,1,0
-122.43703,37.78602,24.95,18.71,75,0,1
-122.45998,37.77877,39.95,39.95,100,1,0
-122.47573,37.76117,34.95,26.21,75,1,0
-122.44318,37.74363,39.95,39.95,100,0,1
-122.25358,37.86682,49.95,49.95,100,1,0
-122.25358,37.86682,49.95,49.95,100,1,0
-120.97912,38.75162,39.95,29.96,75,1,0
-121.70971,38.69589,59.95,29.98,50,1,0
-121.42324,38.48844,39.95,29.96,75,1,0
-121.80121,39.7314,39.95,9.99,25,1,0
-116.84604,33.01692,30.75,33.83,110,0,1
-104.40834,39.73875,35.95,0,0,1,0
-105.32426,40.58755,14.95,3.74,25,1,0
-104.80799,38.90319,54.95,27.48,50,1,0
-72.7704,41.66844,47.95,0,0,1,0
-72.8049,41.90998,29.95,22.46,75,0,1
-72.811,41.4562,35,8.75,25,1,0
-77.0397,38.91926,34.95,0,0,1,0
-77.0399,38.90065,23,25.3,110,1,0
-77.0617,38.9189,44.95,11.24,25,1,0
-81.6035,30.19173,35.95,0,0,0,1
-87.2412,30.53706,34.95,17.48,50,1,0
-82.4073,29.57524,52,13,25,1,0
-81.4727,28.38528,35,0,0,1,0
-80.3757,27.68978,44.95,22.48,50,1,0
-80.2315,26.14232,52,13,25,1,0
-80.2044,25.78342,34.95,0,0,1,0
-80.4581,25.55842,44,44,100,0,1
-80.2643,26.12546,34.95,17.48,50,1,0
-82.294,27.90367,21.95,21.95,100,0,1
-82.294,27.90367,24.95,18.71,75,0,1
-81.4151,26.18437,34.95,17.48,50,0,1
-81.4151,26.18437,34.95,17.48,50,0,1
-84.2909,30.44942,23,5.75,25,1,0
-84.302,34.11237,34.95,17.48,50,1,0
-84.3573,33.76285,39.95,29.96,75,1,0
-84.3573,33.76285,39.95,29.96,75,1,0
-84.2782,33.8901,26,6.5,25,1,0
-87.9629,42.34732,35.95,0,0,1,0
-87.6873,41.81192,35,0,0,1,0
-87.6873,41.81192,35,0,0,1,0
-87.6873,41.81192,35,0,0,1,0
-87.9872,42.30914,34.95,8.74,25,0,1
-86.9172,40.48228,34.95,17.48,50,0,1
-85.7034,38.25032,47.95,0,0,1,0
-84.5074,38.02871,39.95,9.99,25,0,1
-71.8276,42.28256,24.95,18.71,75,0,1
-71.8276,42.28256,24.95,18.71,75,0,1
-71.121,42.30966,39.95,29.96,75,0,1
-71.121,42.30966,24.95,18.71,75,0,1
-71.053,42.45899,49.95,24.98,50,1,0
-71.2315,42.32714,49.95,37.46,75,0,1
-71.2315,42.32714,49.95,37.46,75,0,1
-76.4207,38.18879,24.95,18.71,75,0,1
-76.4207,38.18879,24.95,18.71,75,0,1
-76.8561,38.96076,45,11.25,25,1,0
-76.815,39.13618,35.95,0,0,1,0
-76.5647,38.96299,49.95,37.46,75,1,0
-76.5647,38.96299,49.95,37.46,75,1,0
-77.1046,39.00452,37,40.7,110,0,1
-77.1046,39.00452,57.95,14.49,25,1,0
-77.1538,38.98958,18,9,50,1,0
-77.1984,39.09185,49,0,0,1,0
-77.1457,39.23351,24.95,18.71,75,0,1
-77.0057,38.98236,59.95,29.98,50,1,0
-77.0057,38.98236,59.95,29.98,50,1,0
-76.5882,39.01811,59.95,29.98,50,1,0
-76.6037,38.95119,26.25,0,0,1,0
-77.2658,39.35155,39.95,29.96,75,1,0
-75.6336,38.38244,28,7,25,1,0
-70.3551,43.80368,49.95,24.98,50,0,1
-69.6359,44.42775,39.95,29.96,75,0,1
-83.7278,42.2709,35,8.75,25,1,0
-83.7278,42.2709,35,8.75,25,1,0
-85.1304,42.30304,34.95,38.45,110,1,0
-86.1389,42.36377,39.95,9.99,25,1,0
-85.539,42.93014,24.95,18.71,75,1,0
-93.2581,44.63342,49.95,12.49,25,1,0
-93.1771,44.98061,49,0,0,1,0
-93.3002,44.97011,39.95,29.96,75,0,1
-93.3002,44.97011,39.95,29.96,75,0,1
-93.2983,45.03836,0,0,0,1,0
-93.2983,45.03836,0,0,0,1,0
-92.0695,43.53499,59.95,44.96,75,1,0
-94.0701,44.33779,65,16.25,25,1,0
-90.3263,38.6459,37,40.7,110,0,1
-93.238,37.15137,39.95,29.96,75,0,1
-93.238,37.15137,34.95,17.48,50,0,1
-89.3779,30.37282,35,0,0,1,0
-112.59876,45.99789,47.95,0,0,1,0
-74.0563,40.75895,24.95,18.71,75,0,1
-74.0115,40.7888,39.95,0,0,1,0
-74.2411,40.94868,35.95,0,0,1,0
-74.3677,40.81634,17.95,4.49,25,1,0
-74.6939,40.34362,44.95,22.48,50,1,0
-74.6939,40.34362,0,0,0,1,0
-74.712,40.28053,29,31.9,110,0,1
-74.6528,40.3492,47,11.75,25,1,0
-74.6528,40.3492,39.95,0,0,1,0
-74.7085,40.43425,18.95,0,0,1,0
-106.45417,35.07196,57.95,14.49,25,1,0
-106.67287,35.04433,35,8.75,25,1,0
-106.74717,32.27377,34.95,26.21,75,0,1
-115.20852,36.16906,34.95,26.21,75,0,1
-73.9898,40.75953,47.95,0,0,1,0
-73.7612,41.07518,24.95,18.71,75,0,1
-73.7809,40.89959,35.95,0,0,1,0
-73.9204,42.83592,61.25,0,0,1,0
-74.1306,41.94914,54.95,41.21,75,0,1
-76.5656,42.89438,49,0,0,1,0
-76.055,42.15058,24.95,18.71,75,1,0
-78.5771,42.7682,11.95,11.95,100,0,1
-83.0113,39.96903,47.95,0,0,1,0
-83.0113,39.96903,47.95,0,0,1,0
-83.9264,40.43691,24.95,18.71,75,1,0
-97.4996,35.54488,35,8.75,25,1,0
-96.9874,36.09366,23,11.5,50,1,0
-96.3214,34.04494,35.95,0,0,0,1
-122.86037,45.52013,39.95,19.98,50,1,0
-122.69315,45.49893,34.95,17.48,50,0,1
-122.69315,45.49893,34.95,17.48,50,0,1
-122.45702,44.98446,49.95,37.46,75,1,0
-77.6417,41.22902,34.95,26.21,75,0,1
-75.6105,39.9801,34.95,17.48,50,0,1
-79.8205,32.84727,23,0,0,1,0
-96.7907,44.36969,39.95,29.96,75,0,1
-82.4929,36.35245,23,11.5,50,1,0
-84.0454,35.82785,47.95,0,0,1,0
-90.002,35.13573,34.95,26.21,75,1,0
-85.4547,36.14182,0,0,0,1,0
-96.7154,33.16241,24.95,18.71,75,0,1
-96.7843,32.82602,34.95,17.48,50,1,0
-97.1411,32.45514,35,35,100,0,1
-95.4342,29.83399,14.95,3.74,25,1,0
-95.4342,29.83399,14.95,3.74,25,1,0
-98.6857,29.89313,44.95,44.95,100,0,1
-97.7188,30.28685,24.95,18.71,75,0,1
-111.75327,40.77707,39.95,9.99,25,0,1
-77.3163,38.67595,44.95,22.48,50,0,1
-77.0873,38.75891,94.5,47.25,50,1,0
-77.4511,37.54944,23,11.5,50,1,0
-76.2129,36.88743,39.95,0,0,1,0
-122.21437,47.75068,23,0,0,1,0
-121.80338,47.43225,18,9,50,1,0
-121.80338,47.43225,18,9,50,1,0
