Quarter,Sales,t,Q
Q1-86,1734.83,1,1
Q2-86,2244.96,2,2
Q3-86,2533.8,3,3
Q4-86,2154.96,4,4
Q1-87,1547.82,5,1
Q2-87,2104.41,6,2
Q3-87,2014.36,7,3
Q4-87,1991.75,8,4
Q1-88,1869.05,9,1
Q2-88,2313.63,10,2
Q3-88,2128.32,11,3
Q4-88,2026.83,12,4
Q1-89,1910.6,13,1
Q2-89,2331.16,14,2
Q3-89,2206.55,15,3
Q4-89,2173.97,16,4
Q1-90,2148.28,17,1
Q2-90,2739.31,18,2
Q3-90,2792.75,19,3
Q4-90,2556.01,20,4
Q1-91,2480.97,21,1
Q2-91,3039.52,22,2
Q3-91,3172.12,23,3
Q4-91,2879,24,4
Q1-92,2772,25,1
Q2-92,3550,26,2
Q3-92,3508,27,3
Q4-92,3243.86,28,4
Q1-93,3056,29,1
Q2-93,3899,30,2
Q3-93,3629,31,3
Q4-93,3373,32,4
Q1-94,3352,33,1
Q2-94,4342,34,2
Q3-94,4461,35,3
Q4-94,4017,36,4
Q1-95,3854,37,1
Q2-95,4936,38,2
Q3-95,4895,39,3
Q4-95,4333,40,4
Q1-96,4194,41,1
Q2-96,5253,42,2
Q3-96,4656,43,3
Q4-96,4443,44,4
Q1-97,4138,45,1
Q2-97,5075,46,2
Q3-97,4954,47,3
Q4-97,4701,48,4
Q1-98,4457,49,1
Q2-98,5151,50,2
Q3-98,4747,51,3
Q4-98,4458,52,4
Q1-99,4428,53,1
Q2-99,5379,54,2
Q3-99,5195,55,3
Q4-99,4803,56,4
