t,Ft,Yt,R_t,A_t,f_t,Q_t,e_t,m_t,C_t
1,-0.5,0.45,1.0256410256410258,-1.1235955056179776,-0.0,0.45641025641025645,0.45,-0.5056179775280899,0.44943820224719105
2,-1.3,0.83,0.46096225871506774,-0.612088752869166,0.6573033707865169,0.9790262172284645,0.17269662921348305,-0.6113236419280795,0.09416750044141017
3,-1.5,1.45,0.09658205173477967,-0.34715969128824453,0.9169854628921192,0.41730961640325426,0.5330145371078807,-0.7963648040825979,0.046287958838432605
4,-0.84,0.88,0.047474829577879595,-0.17078868298146527,0.6689464354293823,0.23349823975015185,0.21105356457061775,-0.8324103644141574,0.04066397213844412
5,-0.65,-1.43,0.041706638090711914,-0.12457119468344935,0.5410667368692024,0.21762105459332579,-1.9710667368692023,-0.5868722262015528,0.03832959836413826
6,-1.19,-1.5,0.039312408578603346,-0.18297692724319534,0.6983779491798477,0.2556703017881602,-2.198377949179848,-0.18461978414142677,0.030752424746755515
7,2.12,-2.33,0.03154094845821079,0.19565564350181736,-0.3913939423798248,0.3417576387505826,-1.9386060576201753,-0.5639189998416234,0.01845807957564315
8,0.46,-0.78,0.01893136366732631,0.0426871393812526,-0.2594027399271468,0.20400587655200625,-0.5205972600728532,-0.5861418076438515,0.018559625817935913
9,-0.63,0.58,0.01903551365942145,-0.05777920222124485,0.36926933881562646,0.2075551953714244,0.2107306611843735,-0.59831765713064,0.01834260387976027
10,-1.22,1.1,0.01881292705616438,-0.10066514988371869,0.7299475416993808,0.22800116063039508,0.3700524583006193,-0.6355690433103104,0.01650248358749487
