t,Ft,Yt,R_t*,A_t,f_t,q_t*,e_t,m_t,C_t*,n_t,S_t
1,-0.5,0.45,1.0256410256410258,-0.4081632653061225,-0.0,1.2564102564102564,0.45,-0.18367346938775514,0.816326530612245,2,0.18058673469387757
2,-1.3,0.83,0.8372579801151231,-0.4507042253521127,0.2387755102040817,2.414965986394558,0.5912244897959182,-0.4501408450704225,0.34669555796316365,3,0.16863840567212798
3,-1.5,1.45,0.35558518765452685,-0.29631001435251636,0.6752112676056338,1.8000666722226855,0.7747887323943662,-0.6797185054863651,0.19754000956834425,4,0.20985038002801354
4,-0.84,0.88,0.2026051380188146,-0.14890161172284444,0.5709635446085467,1.1429581853860755,0.3090364553914533,-0.7257345317752675,0.1772638234795767,5,0.18459194439246582
5,-0.65,-1.43,0.18180904972264278,-0.10974583058548994,0.4717274456539239,1.0768143235078167,-1.9017274456539237,-0.5170278737047554,0.1688397393622922,6,0.7135899887804191
6,-1.19,-1.5,0.17316896344850483,-0.1654890785251178,0.6152631697086589,1.2452245691394277,-2.115263169708659,-0.16697492091154964,0.1390664525421158,7,1.1249625441148388
7,2.12,-2.33,0.14263225901755466,0.18426071592117874,-0.35398683233248524,1.6410464249284977,-1.9760131676675148,-0.5310765218556421,0.08691543203829186,8,1.281761298123807
8,0.46,-0.78,0.08914403285978652,0.04024707939308826,-0.2442952000535954,1.0188628773531307,-0.5357047999464046,-0.5526370754703436,0.08749365085453968,9,1.17063966392534
9,-0.63,0.58,0.08973707779952789,-0.054590044706514886,0.34816135754631644,1.0356166461786327,0.23183864245368352,-0.5652931573265879,0.0866508646135157,10,1.0587657605095937
10,-1.22,1.1,0.0888726816548879,-0.09575798708709375,0.6896576519384372,1.1322780993751351,0.4103423480615629,-0.6045867145935548,0.07849015335007685,11,0.9760333998940381
